epoch,total,pde,ic,seis,bc
127,2.4797287583e-01,1.1721733212e-01,8.5131684318e-04,2.0374614000e-01,1.7042506952e-03
128,2.4793966115e-01,1.1438664049e-01,8.5236382438e-04,2.0374158025e-01,1.8379209796e-03
129,2.4776017666e-01,1.0575199872e-01,8.5354107432e-04,2.0373634994e-01,1.7390403664e-03
130,2.4777710438e-01,1.0699941963e-01,8.5372140165e-04,2.0372930169e-01,1.5060125152e-03
131,2.4796320498e-01,1.1469816417e-01,8.5304351524e-04,2.0372076333e-01,1.6276777023e-03
132,2.4777698517e-01,1.0633138567e-01,8.5255515296e-04,2.0371156931e-01,1.5085418709e-03
133,2.4766597152e-01,1.0049130023e-01,8.5289962590e-04,2.0370244980e-01,1.6315524699e-03
134,2.4797135592e-01,1.1339930445e-01,8.5374421906e-04,2.0369409025e-01,1.7335427692e-03
135,2.4775302410e-01,1.0442279279e-01,8.5479399422e-04,2.0368604362e-01,1.4238234144e-03
136,2.4787801504e-01,1.0850184411e-01,8.5531157674e-04,2.0367814600e-01,1.6898845788e-03
137,2.4773892760e-01,1.0267544538e-01,8.5557729471e-04,2.0367020369e-01,1.5154030407e-03
138,2.4772135913e-01,1.0144793987e-01,8.5580709856e-04,2.0366257429e-01,1.5366602456e-03
139,2.4766200781e-01,9.7836770117e-02,8.5649144603e-04,2.0365506411e-01,1.7057254445e-03
140,2.4774242938e-01,1.0171513259e-01,8.5695966845e-04,2.0364743471e-01,1.5020468272e-03
141,2.4774546921e-01,1.0124034435e-01,8.5656635929e-04,2.0363914967e-01,1.5797533561e-03
142,2.4780961871e-01,1.0290316492e-01,8.5538241547e-04,2.0362940431e-01,1.8023988232e-03
143,2.4773643911e-01,1.0051794350e-01,8.5363752441e-04,2.0361907780e-01,1.5826171730e-03
144,2.4753439426e-01,9.2567980289e-02,8.5215072613e-04,2.0360881090e-01,1.4211147791e-03
145,2.4756620824e-01,9.4054818153e-02,8.5135130212e-04,2.0359855890e-01,1.3451803243e-03
146,2.4779497087e-01,1.0203828663e-01,8.5099576972e-04,2.0358836651e-01,1.6802711179e-03
147,2.4757950008e-01,9.4059512019e-02,8.5058039986e-04,2.0357802510e-01,1.4123462606e-03
148,2.4745146930e-01,8.8521189988e-02,8.5003039567e-04,2.0356774330e-01,1.4690411044e-03
149,2.4778254330e-01,1.0158458352e-01,8.4972439799e-04,2.0355740190e-01,1.5127117513e-03
150,2.4754789472e-01,9.2974625528e-02,8.4974145284e-04,2.0354734361e-01,1.2475139229e-03
151,2.4767436087e-01,9.7440101206e-02,8.4962020628e-04,2.0353734493e-01,1.3564487454e-03
152,2.4754570425e-01,9.2023588717e-02,8.4894848987e-04,2.0352688432e-01,1.4098471729e-03
153,2.4752521515e-01,9.1166183352e-02,8.4734731354e-04,2.0351573825e-01,1.4147388283e-03
154,2.4745269120e-01,8.7968289852e-02,8.4527221043e-04,2.0350393653e-01,1.5206630342e-03
155,2.4754369259e-01,9.2091880739e-02,8.4301689640e-04,2.0349180698e-01,1.3746627374e-03
