# source time function
# time function type  : 1
# amplification factor:  1.00000E+10
# DT                  :  5.00000E-05
# t0                  :  1.20000E-01
# time shift          :  0.00000E+00
# format
#time  #used_STF  #initial_source_function_value
 -0.108000003      -9.14672782E-09  -9.1467278195977999E-019
 -0.107950002      -9.53611945E-09  -9.5361194496490497E-019
 -0.107900001      -9.94188909E-09  -9.9418890897595696E-019
 -0.107850000      -1.03647135E-08  -1.0364713531885173E-018
 -0.107799999      -1.08053042E-08  -1.0805304206940037E-018
 -0.107749999      -1.12643956E-08  -1.1264395638477254E-018
 -0.107699998      -1.17427552E-08  -1.1742755212651445E-018
 -0.107649997      -1.22411823E-08  -1.2241182290040343E-018
 -0.107600003      -1.27605082E-08  -1.2760508205644784E-018
 -0.107550003      -1.33015980E-08  -1.3301598045245555E-018
 -0.107500002      -1.38653515E-08  -1.3865351533581816E-018
 -0.107450001      -1.44527066E-08  -1.4452706587064767E-018
 -0.107400000      -1.50646375E-08  -1.5064637537420823E-018
 -0.107349999      -1.57021631E-08  -1.5702163125297375E-018
 -0.107299998      -1.63663358E-08  -1.6366335842121770E-018
 -0.107249998      -1.70582588E-08  -1.7058258805491277E-018
 -0.107199997      -1.77790742E-08  -1.7779074212853629E-018
 -0.107150003      -1.85299740E-08  -1.8529973999648064E-018
 -0.107100002      -1.93121998E-08  -1.9312199839305321E-018
 -0.107050002      -2.01270414E-08  -2.0127041366890807E-018
 -0.107000001      -2.09758380E-08  -2.0975837955461429E-018
 -0.106950000      -2.18599894E-08  -2.1859989374206634E-018
 -0.106899999      -2.27809469E-08  -2.2780946906664211E-018
 -0.106849998      -2.37402258E-08  -2.3740225785218171E-018
 -0.106799997      -2.47393999E-08  -2.4739399862028221E-018
 -0.106749997      -2.57801069E-08  -2.5780106938100288E-018
 -0.106700003      -2.68640505E-08  -2.6864050539643356E-018
 -0.106650002      -2.79930035E-08  -2.7993003470783151E-018
 -0.106600001      -2.91688114E-08  -2.9168811366275806E-018
 -0.106550001      -3.03933945E-08  -3.0393394467864709E-018
 -0.106500000      -3.16687476E-08  -3.1668747624280514E-018
 -0.106449999      -3.29969509E-08  -3.2996950949382155E-018
 -0.106399998      -3.43801645E-08  -3.4380164493086339E-018
 -0.106349997      -3.58206371E-08  -3.5820637123151754E-018
 -0.106299996      -3.73207136E-08  -3.7320713630606405E-018
 -0.106250003      -3.88828241E-08  -3.8882824071606591E-018
 -0.106200002      -4.05094944E-08  -4.0509494425577938E-018
 -0.106150001      -4.22033715E-08  -4.2203371464211161E-018
 -0.106100000      -4.39671837E-08  -4.3967183671611562E-018
 -0.106050000      -4.58037910E-08  -4.5803790982290594E-018
 -0.105999999      -4.77161493E-08  -4.7716149254029005E-018
 -0.105949998      -4.97073493E-08  -4.9707349347727355E-018
 -0.105899997      -5.17805958E-08  -5.1780595811123931E-018
 -0.105850004      -5.39392246E-08  -5.3939224642363114E-018
 -0.105800003      -5.61867068E-08  -5.6186706842709099E-018
 -0.105750002      -5.85266555E-08  -5.8526655521973225E-018
